gene,correlation,rmse,n_samples
CHST7,0.6133902852776849,2.8339961315057423,10
RB1-DT,0.6131579808603695,0.17066815157578819,10
HPD,0.6127457110208069,0.1848011462296166,10
GNAI2,0.6123834640268955,152.9339539734618,10
TFAP2A-AS1,0.6123798630621489,2.0897711794416876,10
LINC01605,0.6123781200034746,2.331470518624591,10
FTSJ1,0.6123361984299737,42.09070850376756,10
CBFA2T2,0.6120345685393959,13.760530615782622,10
CD81,0.6107250065026472,269.697947439386,10
AC107464.2,0.6103193303792869,3.588431072596164,10
LRRC37B,0.6089744078235123,4.064537367771328,10
CAPN1,0.6088991272264587,138.13896433941346,10
LINC01226,0.6088357609468303,0.17533592704751977,10
SCMH1,0.6086923029238653,32.67283366007465,10
RAD1,0.6079857869366809,19.969962548564027,10
SARNP,0.6079101685056783,0.07858607875645086,10
PSD3,0.607663149375129,8.531614070519797,10
AL590550.1,0.6075985853837391,5.496253939518494,10
FAM117B,0.6075373048648356,20.121730001104286,10
SLC39A13,0.6067726756949947,37.022384065214624,10
PRPF40B,0.6065968633841529,2.5317168560033174,10
OSTM1,0.6065158521018498,22.060631440275717,10
H4C3,0.6059989274138372,0.9969003548079926,10
DIAPH2-AS1,0.6057267142286331,0.07478761726881306,10
ATF6B,0.6054332598903935,104.0717020227555,10
FRG1,0.6051351009798447,52.55219724671916,10
PDHA1,0.6050646474760509,42.95509511053841,10
AC006504.1,0.6047316531284928,0.6670936607512363,10
CYP19A1,0.6044069721286235,0.16734002385129684,10
AL357079.3,0.6041277724496206,3.0091475506913214,10
AC104564.5,0.6035634660330816,0.2571007094417114,10
AC100830.1,0.603314686492776,0.21402217421087819,10
ACSL3,0.6031283439074145,110.69878231117897,10
FGFR4,0.60276897350174,55.56441489588855,10
RPS6,0.6027434513919249,2220.473567436046,10
ELP5,0.6026257014025147,32.903156525764054,10
CDKN1B,0.6024896799977667,158.4904379912582,10
PIK3R4,0.6021883578002382,35.04370515537259,10
ATP13A4,0.6021364692690316,3.0033944739053577,10
HIKESHI,0.6019551517098849,16.84787452488532,10
MIR194-2HG,0.6018811762808706,0.0657539722257791,10
METRNL,0.6017864623099927,120.88391433110566,10
ZNF669,0.6017777255625423,13.44100032791957,10
DAPK3,0.6016963752920861,68.07029426245377,10
AC074044.1,0.6010305460828952,0.41762022292310835,10
MRPS35,0.6009976600175911,147.81514954629486,10
AL161891.1,0.6006833190037671,0.482045687251249,10
GNG5,0.6004623463232435,17.238267474462027,10
PPIC-AS1,0.600440750957817,0.5728547479630867,10
AC092611.1,0.6000503693666387,0.30982926057110105,10
PSMD6,0.6000380086610969,25.732687151958192,10
CENATAC-DT,0.5996068237829911,2.5727928034256164,10
SPPL2A,0.5992825960210135,84.38835599768683,10
AC004825.3,0.5992498212480569,0.062110052852905114,10
LINC02542,0.5992450661984658,1.3374933958906436,10
AC010359.3,0.5990095014891735,0.09964446270875894,10
AC104472.4,0.5990083287857786,1.8618274001905601,10
RFX1,0.5981628673509642,12.666327131621614,10
BAHD1,0.597427843062884,23.3537023136443,10
TTC9C,0.5973156514002322,27.947669659099812,10
RNF26,0.5971054566069791,43.683307664199546,10
ZNF75D,0.5969688267204832,7.272336054248631,10
TBCEL-TECTA,0.596627352044345,0.10031961713709414,10
AC133550.3,0.5966152742161243,0.9183518951168018,10
LIX1-AS1,0.5959134355873803,0.11946549582309635,10
MAP6D1,0.5957834106947579,0.08262593437911872,10
ZYG11B,0.5956860935504757,20.720376838066603,10
MAB21L3,0.5954874947938086,0.07673049105748274,10
AL359317.2,0.5954775637506171,0.21097599397756892,10
C2orf92,0.5954216792468182,1.2389168537463466,10
MFN1,0.5952380973073531,46.66658845142835,10
ANKRD26,0.5950591103008411,3.9533666976193294,10
PITPNM2,0.5945349530516093,13.795083682548615,10
LINC02848,0.594464687263614,0.05493929004911836,10
CBLL1,0.5943127089824168,24.43382858599225,10
PIK3C3,0.5940714943704735,10.154138227239828,10
AC108676.1,0.5936912457440682,0.09215786086120682,10
LINC01275,0.5935866499423964,0.4542378349611797,10
AC087501.4,0.5935163171495667,1.8147169884023315,10
TDRD12,0.593382953890044,9.638862330687049,10
AC010809.1,0.5928705345075582,0.47085997681999725,10
PLCB3,0.592715539028371,45.82240550117303,10
WNT9B,0.5926973858120886,0.12684381174442505,10
U62317.2,0.5926166700878477,1.5154062391141174,10
GSDMB,0.5923404081495175,15.293356533972597,10
AC005532.1,0.5921553595910803,0.2685193723516216,10
ZNF362,0.592089624717586,50.304291846165576,10
AC011466.1,0.5914608039668116,0.1859156327540987,10
AC048382.5,0.5914374538771169,0.17165709070155696,10
CTSA,0.5913113118528297,59.31371973636284,10
AL357874.3,0.5911042481558887,1.04516907025327,10
RNF38,0.59104641101068,32.17079868874597,10
AC079907.1,0.5910282973550497,1.1291490656128604,10
ANGPTL3,0.5909822341562587,0.09155923719199922,10
CSTF3,0.5904739955100432,25.486982545032603,10
AC092123.1,0.5904311239246892,0.8732443946604485,10
TDRD5,0.5900213943398142,15.093926408386244,10
